Data,Notas URL
06/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25867
11/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25923
11/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25870
12/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25871
13/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25925
13/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25872
15/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25833
18/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25875
19/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25876
20/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25877
